Section,Item,All is Well,Need Improvement,Not Applicable,%NI (of applicable),Applicable N
Data Check,Reach the centre on time (unannounced) — confirm the centre opened on time.,37,4,0,9.8,41
Data Check,"Check the staff attendance register, the Google Sheet, and geo-tagged photos for aspirants.",27,12,2,30.8,39
Data Check,Check Counselling and Screening Forms of recently started batches.,38,3,0,7.3,41
Data Check,Check Aspirant Registration Forms and related documents.,28,13,0,31.7,41
Data Check,"On the GROW portal, confirm all student profile details and batch updates are currect.",35,6,0,14.6,41
Data Check,Verify placement data — randomly call 3–4 alumni placed in the last 3 months to confirm veracity (random selection is essential).,35,3,3,7.9,38
Data Check,Verify retention — check the Alumni Hand-holding Format is being updated as designed.,13,26,2,66.7,39
Data Check,Check aspirant Hostel Forms are properly filled or not.,6,1,34,14.3,7
Infra Check,"Check all CCTV cameras; if any are not working, ask the AH to troubleshoot or call the vendor.",31,5,5,13.9,36
Infra Check,"Check for any scrap material and get it cleared, with support of Admin",26,14,1,35.0,40
Infra Check,Check for any pending infra repairs.,23,18,0,43.9,41
Infra Check,Check whether any fire extinguishers have expired (check the needle and expiry date both).,39,1,1,2.5,40
Infra Check,Check basic cleanliness of the washrooms and the centre.,37,4,0,9.8,41
Infra Check,Confirm the correct program and partner logos are displayed.,39,0,2,0.0,39
Infra Check,"Check the status of digital infra — PCs, smartboards, tablets, laptops, etc.",26,14,1,35.0,40
Infra Check,Make a quick hostel visit; have lunch there if possible to test the food quality.,4,2,35,33.3,6
Process Check,Refer to the activity planner — check if any activities are delayed.,17,6,18,26.1,23
Process Check,Check planning for the next batch-start announcement.,25,16,0,39.0,41
Process Check,Check if any hiring is delayed and plan a resolution.,34,7,0,17.1,41
Process Check,Check the CA’s diary — is CA guided daily by the AH during planning days?,17,21,3,55.3,38
Process Check,Check the AH is regularly meeting employers (in person and online) and updating the centre’s Top 20 Employer format.,15,23,3,60.5,38
Process Check,Confirm all new employers are registered on portal as per new process.,36,2,3,5.3,38
Process Check,Confirm 100% of enrolled students undergone screening (for technical courses).,14,0,27,0.0,14
Process Check,Confirm ESA is done (in GROW full ESA and in Technical courses relevant sections of Core Employability Part).,29,4,8,12.1,33
Process Check,Check is AH giving capstone project in GROW Tech.,0,1,40,100.0,1
Process Check,Check is AH planning OJT as per guidelines and proofs are collected for technical courses.,2,3,36,60.0,5
Process Check,Check are trainers contacting aspirants to find reason for their absenteeism of more than 1 day.,39,2,0,4.9,41
Process Check,Check the AH plans monthly enrolment and placement numbers by the 3rd of each month and shares them with second level managers.,25,15,1,37.5,40
Process Check,Check trainers submit aspirants’ placement interest areas to the AH by the batch’s 25th day (in GROW). ,28,8,5,22.2,36
Process Check,"Ckeck For technical programs, placement is done only in technical jobs,on which aspirants are trained and relevant emplyers are identified by 45th day.",6,0,35,0.0,6
Process Check,Check the AH follows EP guidelines and minimum benchmark salary guidelines.,38,2,1,5.0,40
Process Check,Check that AH is enrolling only the right traget group in the program -as per the defined target.,33,8,0,19.5,41
Process Check,Check the AH announces the next batch-start date by the 3rd of the month on all notice boards — focus on Zero-Day start.,23,18,0,43.9,41
Process Check,Check the Aspirant Mock Interview Score Tracker is updated after every mock interview in the L&D Google Sheet.,18,22,1,55.0,40
Process Check,Confirm NPS (Net Promoter Score) is collected at MSDF centres.,0,0,41,,0
Process Check,Confirm that QAE is collecting student feedback for every batch.,36,0,5,0.0,36
Process Check,Confirm all centre teams have completed the GROW Manual Course on Skillfy — ask for achievement certificates.,25,16,0,39.0,41
Process Check,"Check AH holds a quality weekly team meeting, documents action points in the weekly meeting format, and sends you a photo on WhatsApp.",15,24,2,61.5,39
Aspirant Interaction,Ask aspirants about the session plan — confirm training is happening as planned?,30,10,1,25.0,40
Aspirant Interaction,Ask about the quality of Core Employability component delivery (technical centres) and who delivers it.,14,2,25,12.5,16
Aspirant Interaction,Ask whether they are aware of the referral scheme?,33,7,1,17.5,40
Aspirant Interaction,Ask whether the AH explained the importance of the offer letter and sharing it with us once received for reporting purposes?,36,3,2,7.7,39
Aspirant Interaction,"Ask how many are not interested in jobs — and if so, why they enrolled in the programme?",38,0,3,0.0,38
Aspirant Interaction,Ask whether they were told the kind of job they would get during counselling?,40,0,1,0.0,40
Aspirant Interaction,Ask whether they have been given LMS access?,37,2,2,5.1,39
Aspirant Interaction,Ask whether anyone asked them for money for training or placement?,40,0,1,0.0,40
Aspirant Interaction,"Ask to show their mobile phones — are they enrolled on Skillfy? If not, get them enrolled and give written feedback to trainers and the AH in your presence.",34,6,1,15.0,40
Aspirant Interaction,Ask about the quality of the hostel and any issues they face.,7,2,32,22.2,9
Aspirant Interaction,"Ask a few relevant screening questions to support the 10th-day report and remove non-serious candidates, explaining to them the reasons.",38,0,3,0.0,38
