Section,Item
Data Check,Reach the centre on time (unannounced) — confirm the centre opened on time.
Data Check,"Check the staff attendance register, the Google Sheet, and geo-tagged photos for aspirants."
Data Check,Check Counselling and Screening Forms of recently started batches.
Data Check,Check Aspirant Registration Forms and related documents.
Data Check,"On the GROW portal, confirm all student profile details and batch updates are currect."
Data Check,Verify placement data — randomly call 3–4 alumni placed in the last 3 months to confirm veracity (random selection is essential).
Data Check,Verify retention — check the Alumni Hand-holding Format is being updated as designed.
Data Check,Check aspirant Hostel Forms are properly filled or not.
Infra Check,"Check all CCTV cameras; if any are not working, ask the AH to troubleshoot or call the vendor."
Infra Check,"Check for any scrap material and get it cleared, with support of Admin"
Infra Check,Check for any pending infra repairs.
Infra Check,Check whether any fire extinguishers have expired (check the needle and expiry date both).
Infra Check,Check basic cleanliness of the washrooms and the centre.
Infra Check,Confirm the correct program and partner logos are displayed.
Infra Check,"Check the status of digital infra — PCs, smartboards, tablets, laptops, etc."
Infra Check,Make a quick hostel visit; have lunch there if possible to test the food quality.
Process Check,Refer to the activity planner — check if any activities are delayed.
Process Check,Check planning for the next batch-start announcement.
Process Check,Check if any hiring is delayed and plan a resolution.
Process Check,Check the CA’s diary — is CA guided daily by the AH during planning days?
Process Check,Check the AH is regularly meeting employers (in person and online) and updating the centre’s Top 20 Employer format.
Process Check,Confirm all new employers are registered on portal as per new process.
Process Check,Confirm 100% of enrolled students undergone screening (for technical courses).
Process Check,Confirm ESA is done (in GROW full ESA and in Technical courses relevant sections of Core Employability Part).
Process Check,Check is AH giving capstone project in GROW Tech.
Process Check,Check is AH planning OJT as per guidelines and proofs are collected for technical courses.
Process Check,Check are trainers contacting aspirants to find reason for their absenteeism of more than 1 day.
Process Check,Check the AH plans monthly enrolment and placement numbers by the 3rd of each month and shares them with second level managers.
Process Check,Check trainers submit aspirants’ placement interest areas to the AH by the batch’s 25th day (in GROW).
Process Check,"Ckeck For technical programs, placement is done only in technical jobs,on which aspirants are trained and relevant emplyers are identified by 45th day."
Process Check,Check the AH follows EP guidelines and minimum benchmark salary guidelines.
Process Check,Check that AH is enrolling only the right traget group in the program -as per the defined target.
Process Check,Check the AH announces the next batch-start date by the 3rd of the month on all notice boards — focus on Zero-Day start.
Process Check,Check the Aspirant Mock Interview Score Tracker is updated after every mock interview in the L&D Google Sheet.
Process Check,Confirm NPS (Net Promoter Score) is collected at MSDF centres.
Process Check,Confirm that QAE is collecting student feedback for every batch.
Process Check,Confirm all centre teams have completed the GROW Manual Course on Skillfy — ask for achievement certificates.
Process Check,"Check AH holds a quality weekly team meeting, documents action points in the weekly meeting format, and sends you a photo on WhatsApp."
Aspirant Interaction,Ask aspirants about the session plan — confirm training is happening as planned?
Aspirant Interaction,Ask about the quality of Core Employability component delivery (technical centres) and who delivers it.
Aspirant Interaction,Ask whether they are aware of the referral scheme?
Aspirant Interaction,Ask whether the AH explained the importance of the offer letter and sharing it with us once received for reporting purposes?
Aspirant Interaction,"Ask how many are not interested in jobs — and if so, why they enrolled in the programme?"
Aspirant Interaction,Ask whether they were told the kind of job they would get during counselling?
Aspirant Interaction,Ask whether they have been given LMS access?
Aspirant Interaction,Ask whether anyone asked them for money for training or placement?
Aspirant Interaction,"Ask to show their mobile phones — are they enrolled on Skillfy? If not, get them enrolled and give written feedback to trainers and the AH in your presence."
Aspirant Interaction,Ask about the quality of the hostel and any issues they face.
Aspirant Interaction,"Ask a few relevant screening questions to support the 10th-day report and remove non-serious candidates, explaining to them the reasons."
